ticker,earnings_date,reaction_1day,reaction_3day,surprise_pct,hedging_pct,forward_looking_pct,readability_score,sentiment_score,market_reaction_1day,market_reaction_3day
MSFT,2023-04-25,7.24,11.56,9.77,0.762,1.22,50.7301626362254,-0.0875,-0.38,2.4
MSFT,2023-01-24,-0.59,2.53,0.21,0.651,1.04,52.588589521946346,-0.1051,-0.02,1.33
MSFT,2022-10-25,-7.72,-5.9,1.92,0.641,1.117,48.54287452670829,-0.2026,-0.74,1.09
MSFT,2022-07-26,6.69,11.45,-2.69,0.82,1.249,50.26155938241217,-0.0193,2.62,5.34
MSFT,2022-04-26,4.81,2.7,1.06,0.765,1.098,48.87807396628227,0.2957,0.21,-1.04
MSFT,2022-01-25,2.85,6.85,6.97,0.682,1.006,47.59679057081442,0.1498,-0.15,1.73
MSFT,2021-10-26,4.21,6.94,9.3,0.781,1.019,47.93012902830026,0.2742,-0.51,0.67
MSFT,2021-07-27,-0.11,-0.57,12.71,0.701,0.93,46.59991177775089,0.245,-0.02,-0.14
MSFT,2021-04-27,-2.83,-3.74,9.67,0.675,0.837,43.869886134547926,0.3594,-0.08,-0.13
MSFT,2021-01-26,0.25,-0.16,23.99,0.767,1.127,50.32798165697105,0.2854,-2.57,-3.52
MSFT,2020-10-27,-4.96,-5.06,17.72,0.74,1.185,51.21101365008835,0.0792,-3.53,-3.56
MSFT,2020-07-22,-4.35,-3.73,6.42,0.539,0.926,48.87223667075526,0.1431,-1.23,-1.12
AMZN,2024-04-30,2.29,6.41,17.67,0.452,0.636,50.326024269754015,0.2579,-0.34,1.83
AMZN,2024-02-01,7.87,6.2,24.38,0.521,0.737,49.37699736328088,0.2828,1.07,0.98
AMZN,2023-10-26,6.83,11.31,62.22,0.562,0.683,50.18822809070147,0.345,-0.48,1.37
AMZN,2023-08-03,8.27,8.56,91.19,0.41,0.535,46.62094374643064,0.2752,-0.53,-0.06
AMZN,2023-04-27,-3.98,-5.64,46.82,0.402,0.575,51.41811012998281,0.1529,0.83,-0.38
AMZN,2023-02-02,-8.43,-9.57,-81.68,0.56,0.56,52.81209665993581,0.1923,-1.04,-0.38
AMZN,2022-10-27,-6.8,-12.77,33.0,0.761,0.718,55.66380813705172,0.1327,2.46,1.28
AMZN,2022-07-28,10.36,9.72,-273.3,0.769,0.831,55.45444850187266,0.1318,1.42,0.46
AMZN,2022-04-28,-14.05,-14.07,-191.55,0.839,0.946,52.65540734830296,0.1808,-3.63,-2.61
AMZN,2022-02-03,13.54,16.25,641.94,0.884,1.106,57.52202985588562,0.1708,0.52,0.98
AMZN,2021-10-28,-2.15,-3.88,-30.85,0.624,0.624,56.1831446482247,0.1774,0.19,0.74
AMZN,2021-07-29,-7.56,-6.49,22.57,0.447,0.616,57.17513453519334,0.2375,-0.54,0.09
AMZN,2021-04-29,-0.11,-4.59,64.11,0.511,0.67,59.48809446254074,0.2285,-0.72,-1.11
AMZN,2021-02-02,-2.0,-0.82,97.39,0.557,0.595,56.36581598880852,0.2512,0.1,1.58
AMZN,2020-10-29,-5.45,-5.06,66.17,0.499,0.815,56.04521822008897,0.1258,-1.21,1.78
AMZN,2020-07-30,3.7,2.85,582.21,0.64,0.795,55.62269835989613,0.2133,0.77,1.86
